user_id,item_id,rating
0,101,2
0,102,3
0,104,2
0,105,5
0,106,5
0,108,3
0,109,5
0,110,2
0,111,5
0,112,3
0,113,1
0,114,4
0,115,3
0,116,4
0,117,5
0,118,2
0,119,3
0,120,3
0,121,3
0,122,5
0,123,4
0,124,3
0,125,4
0,127,2
0,128,1
0,129,2
0,130,2
0,131,3
0,133,1
0,135,3
0,136,4
0,137,4
0,138,5
0,139,5
0,140,1
0,141,4
0,142,1
0,143,5
0,144,5
0,145,4
0,146,1
0,147,4
0,148,1
0,151,2
0,152,4
0,153,4
0,155,3
0,156,1
0,158,1
0,160,5
0,163,1
0,164,2
0,165,2
0,166,2
0,167,3
0,168,1
0,169,3
0,170,1
0,171,2
0,172,2
0,173,2
0,174,2
0,175,4
0,176,2
0,178,5
0,179,3
0,180,4
0,181,5
0,182,5
0,183,4
0,185,2
0,186,3
0,187,1
0,189,3
0,2255,4
0,2256,4
0,2258,2
0,2259,1
0,2260,5
0,2261,2
0,2262,4
0,2264,2
0,2266,5
0,2267,2
0,2268,1
0,2270,4
0,2271,4
1,101,3
1,102,5
1,103,1
1,104,1
1,106,1
1,108,2
1,109,3
1,110,4
1,111,3
1,112,4
1,114,4
1,115,4
1,116,5
1,119,3
1,120,4
1,121,1
1,124,3
1,125,4
1,126,1
1,128,2
1,129,4
1,130,5
1,131,1
1,132,4
1,133,2
1,134,4
1,135,3
1,136,2
1,137,4
1,138,2
1,139,4
1,140,5
1,141,5
1,142,2
1,143,4
1,144,2
1,145,5
1,146,4
1,147,5
1,148,4
1,149,3
1,150,5
1,151,3
1,152,2
1,155,3
1,156,2
1,157,3
1,158,2
1,159,2
1,160,2
1,161,4
1,162,5
1,163,3
1,164,1
1,165,5
1,166,1
1,168,1
1,169,4
1,170,2
1,171,1
1,172,4
1,173,1
1,174,1
1,175,3
1,176,5
1,177,1
1,178,3
1,179,1
1,180,5
1,181,4
1,182,5
1,184,1
1,185,3
1,186,3
1,187,5
1,188,2
1,189,5
1,2255,2
1,2256,3
1,2258,4
1,2261,2
1,2262,3
1,2263,5
1,2264,2
1,2265,1
1,2266,3
1,2267,1
1,2268,3
1,2269,2
1,2270,2
1,2271,2
2,101,4
2,102,4
2,103,1
2,105,3
2,106,5
2,107,3
2,108,5
2,112,2
2,113,1
2,114,2
2,115,5
2,116,3
2,117,3
2,118,3
2,120,5
2,121,5
2,122,4
2,124,5
2,125,2
2,126,4
2,128,5
2,129,1
2,130,2
2,131,3
2,132,1
2,133,3
2,134,2
2,135,5
2,136,2
2,138,4
2,139,3
2,140,2
2,142,3
2,143,5
2,145,1
2,146,1
2,147,5
2,148,5
2,150,1
2,151,3
2,153,1
2,154,3
2,155,1
2,156,1
2,157,1
2,158,3
2,159,2
2,161,1
2,164,3
2,165,2
2,166,3
2,167,4
2,168,3
2,169,5
2,170,5
2,172,3
2,173,4
2,174,2
2,175,3
2,176,2
2,177,1
2,178,2
2,179,5
2,180,2
2,181,4
2,182,5
2,183,4
2,184,4
2,185,3
2,186,5
2,187,2
2,188,4
2,189,1
2,2255,5
2,2256,4
2,2257,5
2,2258,4
2,2259,5
2,2260,3
2,2261,3
2,2262,4
2,2263,5
2,2264,2
2,2265,2
2,2266,4
2,2267,5
2,2268,5
2,2269,3
2,2270,5
2,2271,3
3,101,3
3,102,4
3,103,5
3,104,3
3,105,1
3,106,4
3,107,5
3,108,1
3,110,2
3,112,5
3,114,5
3,115,2
3,116,3
3,117,2
3,119,4
3,120,2
3,122,2
3,123,1
3,124,4
3,126,2
3,128,1
3,129,2
3,130,3
3,131,3
3,132,5
3,134,1
3,135,4
3,136,3
3,137,1
3,138,2
3,139,3
3,140,1
3,143,5
3,144,2
3,145,5
3,146,5
3,147,3
3,148,5
3,150,5
3,151,3
3,153,3
3,154,2
3,155,5
3,157,3
3,159,3
3,160,3
3,161,3
3,162,4
3,163,4
3,165,3
3,167,4
3,169,1
3,170,1
3,171,4
3,172,3
3,176,5
3,177,3
3,178,4
3,179,5
3,180,4
3,182,5
3,183,5
3,184,3
3,186,4
3,187,5
3,188,1
3,189,4
3,2255,2
3,2256,2
3,2258,3
3,2259,5
3,2260,4
3,2262,3
3,2263,1
3,2264,2
3,2265,1
3,2266,4
3,2268,1
3,2269,2
3,2270,1
3,2271,4
4,101,5
4,103,2
4,104,5
4,105,2
4,106,5
4,107,5
4,108,5
4,109,5
4,110,3
4,111,2
4,113,3
4,114,2
4,115,2
4,116,4
4,117,4
4,119,2
4,120,2
4,121,2
4,122,2
4,123,5
4,126,3
4,127,3
4,128,5
4,129,3
4,131,5
4,132,5
4,133,5
4,134,3
4,135,2
4,136,2
4,138,3
4,139,2
4,140,1
4,141,5
4,142,3
4,143,1
4,145,5
4,146,5
4,147,5
4,148,3
4,149,4
4,151,2
4,153,3
4,154,5
4,155,2
4,156,5
4,158,2
4,159,2
4,160,4
4,161,4
4,162,5
4,163,3
4,164,3
4,165,5
4,166,3
4,167,5
4,168,2
4,169,5
4,170,1
4,171,1
4,173,3
4,174,5
4,175,2
4,176,5
4,177,3
4,178,3
4,180,2
4,181,1
4,182,3
4,183,1
4,184,3
4,185,1
4,186,1
4,187,2
4,188,4
